,season,day,timestamp_feed,description,event_type,parent_description,parent_event_type,type_feed,fragment,timestamp_rng,player_name,type_rng,s0,s1,offset
93,11,115,2021-03-07 19:01:05+00:00,Eugenia Garbage's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
94,11,115,2021-03-07 19:01:05+00:00,Ziwa Mueller's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
95,11,115,2021-03-07 19:01:05+00:00,Cedric Spliff's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
96,11,115,2021-03-07 19:01:05+00:00,Commissioner Vapor's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
97,11,115,2021-03-07 19:01:05+00:00,Jesús Koch's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
98,11,115,2021-03-07 19:01:05+00:00,Beans McBlase's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
99,11,115,2021-03-07 19:01:05+00:00,Alston Cerveza's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
100,11,115,2021-03-07 19:01:05+00:00,Lachlan Shelton's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
101,11,115,2021-03-07 19:01:05+00:00,Fish Summer's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
102,11,115,2021-03-07 19:01:05+00:00,York Silk's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
103,11,115,2021-03-07 19:01:05+00:00,The Worms' hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
104,11,115,2021-03-07 19:01:05+00:00,Lenny Crumb's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
105,11,115,2021-03-07 19:01:05+00:00,Vessalius Sundae's hitting was boosted.,117,"Blessing Won: Tag Team Hitting, Moist Talkers",60,boost,-1,,,,-1,-1,-1
