,ID,Name,Day,X,Y,edensity
1680,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,84,0.2637920655951294,1.0,535.0972985799044
1681,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,85,0.1813030355024065,1.0,535.0972985799044
1682,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,86,0.0991100144667107,1.0,535.0972985799044
1683,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,87,0.0172159076589274,1.0,535.0972985799044
1684,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,88,-0.0643763769719447,1.0,535.0972985799044
1685,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,89,-0.1573937261276439,1.0,535.0972985799044
1686,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,90,-0.2645051414134568,0.9897981737852088,535.0972985799044
1687,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,91,-0.3598251179006486,1.0,535.0972985799044
1688,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,92,-0.4655389869947728,1.0,535.0972985799044
1689,54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,93,-0.5708192945076134,1.0,535.0972985799044
1690,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,73,0.9973960702116031,0.9117442065572338,0.0
1691,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,74,1.0,0.826771023653227,0.0
1692,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,75,0.920800058064984,0.7488183294334951,556.3597207670318
1693,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,76,0.9128697476109936,0.7410129062124189,556.3597207670318
1694,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,77,0.904939437157003,0.7332074829913426,556.3597207670318
1695,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,78,0.825739495221987,0.6552547887716109,556.3597207670318
1696,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,79,0.8178091847679965,0.6474493655505347,556.3597207670318
1697,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,80,0.809878874314006,0.6396439423294584,556.3597207670318
1698,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,81,0.73067893237899,0.5616912481097267,556.3597207670318
1699,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,82,0.7227486219249994,0.5538858248886505,556.3597207670318
1700,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,83,0.7148183114710089,0.5460804016675742,556.3597207670318
1701,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,84,0.7068880010170184,0.538274978446498,556.3597207670318
1702,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,85,0.6989576905630279,0.5304695552254217,556.3597207670318
1703,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,86,0.6910273801090374,0.5226641320043455,556.3597207670318
1704,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,87,0.6830970696550469,0.5148587087832692,556.3597207670318
1705,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,88,0.6751667592010564,0.507053285562193,556.3597207670318
1706,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,89,0.6672364487470659,0.4992478623411167,556.3597207670318
1707,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,90,0.6593061382930754,0.4914424391200405,556.3597207670318
1708,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,91,0.6513758278390849,0.4836370158989642,556.3597207670318
1709,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,92,0.6434455173850944,0.475831592677888,556.3597207670318
1710,cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,93,0.6355152069311039,0.4680261694568117,556.3597207670318
1711,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,73,0.914160538908463,0.9070875343256936,
1712,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,74,0.8342238066260759,0.8272026056494335,0.0
1713,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,75,0.8250206684691084,0.8180054316560064,650.5493090489032
1714,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,76,0.8158175303121409,0.8088082576625792,650.5493090489032
1715,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,77,0.8066143921551734,0.7996110836691521,650.5493090489032
1716,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,78,0.7974112539982059,0.790413909675725,650.5493090489032
1717,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,79,0.7882081158412384,0.7812167356822979,650.5493090489032
1718,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,80,0.7790049776842709,0.7720195616888708,650.5493090489032
1719,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,81,0.7698018395273034,0.7628223876954436,650.5493090489032
1720,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,82,0.6898861211489786,0.8243339896668012,650.5493090489032
1721,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,83,0.7519667134274303,0.8852710595486203,650.5493090489032
1722,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,84,0.7428234114174982,0.8760143976364203,650.5493090489032
1723,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,85,0.663007310626218,0.7960091985491586,650.5493090489032
1724,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,86,0.6538643517777447,0.786752197690526,650.5493090489032
1725,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,87,0.6447213929292714,0.7774951968318933,650.5493090489032
1726,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,88,0.6355784340807982,0.7682381959732606,650.5493090489032
1727,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,89,0.6976487707642022,0.8291856575047745,650.5493090489032
1728,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,90,0.6885050012477626,0.8199294573971799,650.5493090489032
1729,4c192065-65d8-4010-8145-395f82d24ddf,Hedgehogs,91,0.679361231731323,0.8106732572895854,650.5493090489032
